	index	Datum uitspraak:	Datum publicatie:	Rechtsgebieden:	Bijzondere kenmerken:	Vindplaatsen:	Inhoudsindicatie:	Formele relaties:
22	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOVE:2022:3176&showbutton=true	02-11-2022	02-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	Ontruiming aanleunwoning in kort geding toegewezen vanwege strafbaar en volstrekt ontoelaatbaar gedrag huurder. Opleggen locatie- en gebiedsverbod eveneens gerechtvaardigd.	
23	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8829&showbutton=true	02-11-2022	03-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Artikel 6:225 lid 3 BW vereist dat naast een verwijzing naar de eigen voorwaarden tevens en uitdrukkelijk de toepasselijkheid van de algemene voorwaarden van de ander van de hand wordt gewezen.	
24	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:10911&showbutton=true	02-11-2022	03-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Begaclaim. Vraag of Staat aansprakelijk is o.g.v. onrechtmatige daad (6:162 BW), doordat eiser gedetineerd heeft gezeten in een strafzaak waarin hij is vrijgesproken. Sprake van onrechtmatig rechtspraak? Vorderingen afgewezen.	
25	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2022:6242&showbutton=true	02-11-2022	04-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Blokker B.V. moet bijna 125.000 euro schadevergoeding betalen aan de voormalig exploitant van een Blokkerfiliaal. Dat heeft de rechtbank geoordeeld.	
26	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2022:6310&showbutton=true	02-11-2022	04-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	De voorzieningenrechter heeft een verzoek van een Russische schuldeiser om aandelen over te dragen voor 1 euro, afgewezen.	
27	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9423&showbutton=true	02-11-2022	07-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	Kort geding. Contactverbod in conventie en reconventie gevorderd. Vorderingen over en weer afgewezen. De buurtgenoten moeten in staat zijn om elkaar, zoals in de mediation afgesproken, te negeren en uit te gaan van leven en laten leven.	
28	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBZWB:2022:6493&showbutton=true	02-11-2022	07-11-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig, Beschikking	Rechtspraak.nl	"Verzoek wijziging partneralimentatie. Wijziging van omstandigheden omdat vrouw geen informatie heeft verstrekt over haar inspanningsverplichting. 
Onvoldoende onderbouwing dat gezondheidsklachten haar beperken. Fictief inkomen leidt tot een verlaging van de partneralimentatie."	
29	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2022:5778&showbutton=true	02-11-2022	07-11-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Verzekerinsrecht, erfrecht, huwelijksgoederenrecht. Ex-echtgenoot was gerechtigd overlijdensrisicoverzekering te veranderen ORV is geen boedelbestanddeel van de huwelijksgemeenschap.	
30	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2022:9454&showbutton=true	02-11-2022	07-11-2022	Civiel recht	Bodemzaak	Rechtspraak.nl	Oud-fractievoorzitter Forza! in de gemeenteraad Haarlemmermeer heeft rekening-courant verhouding onderhouden met de bankrekening. Hij wordt verantwoordelijk gehouden voor het kastekort en moet de door de gemeente  teruggevorderde fractievergoeding voldoen	
31	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2022:9434&showbutton=true	02-11-2022	07-11-2022	Verbintenissenrecht	Bodemzaak	Rechtspraak.nl	Vervroegde aankomst, Montreal toch van toepassing want niet gebleken dat de passagiers na annulering alsnog zonder vertraging op de eindbestemming hadden kunnen aankomen. Vervoerder heeft niet de mogelijkheid gehad een alternatieve vlucht te regelen.	
32	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNNE:2022:4086&showbutton=true	02-11-2022	08-11-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig, Op tegenspraak	Rechtspraak.nl	1:253ha BW. Meerderjarig verklaring. Gezag van rechtswege na meerderjarig verklaring.	
33	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:5924&showbutton=true	02-11-2022	09-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig, Op tegenspraak, Tussenuitspraak	Rechtspraak.nl	Geschil onderaannemer - hoofdaannemer. Omvang opdracht. Meerwerk en nakoming waarschuwingsverplichting (7:755 BW). Bewijsopdracht aan onderaannemer.	
34	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:6231&showbutton=true	02-11-2022	09-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Afnemer is boete verschuldigd vanwege tussentijds annuleren overeenkomst voor leveren en installeren zonnepanelen. Geen sprake van opzegging door leverancier of beëindiging met wederzijds goedvinden. Uitleg boetebepaling AV. Matiging boete.	
35	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:6160&showbutton=true	02-11-2022	09-11-2022	Intellectueel-eigendomsrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Auteursrecht op flessenwarmers. Uit vormgevingserfgoed blijkt de keuzevrijheid van de maker. Ontwerpkeuzes niet technisch bepaald, triviaal of banaal. Verbod voor de gehele Europese Unie.	
36	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:6187&showbutton=true	02-11-2022	09-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Vervoersrecht. Afzender vordert schadevergoeding van vervoerder wegens ladingdiefstal. Rechter wijst vorderingen toe tot CMR-limiet. Geen opzet. Geen overmacht. Geen schending verzwaarde motiveringsplicht.	
37	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:6110&showbutton=true	02-11-2022	09-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Vordering verklaring voor recht dat besluit van VvE nietig is wegens strijd met art.5:127 lid 3 jo 5:129 lid 1 jo 2:14 BW.	
38	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:6234&showbutton=true	02-11-2022	09-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Vervolg op ECLI:NL:RBGEL:2022:2322. Tussenvonnis na (tegen)bewijsopdracht. Partijen moeten zich nader uitlaten over afrekening over bepaalde zaken in de geërfde woning en de gevolgen daarvan voor de afrekening cfm de meerwaardeclausule uit 1920 en 1961.	
