	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
15	Rechtbank Rotterdam	04-11-2022	08-11-2022	9932825 CV EXPL 22-18118	Civiel recht	Eerste aanleg - enkelvoudig	Opheffing beslag gevorderd in art. 223 Rv-incident. Levert 403-verklaring van buitenlandse vennootschap voldoende vervangende zekerheid op? Afwijzing.	Rechtspraak.nl	Verrijkte uitspraak		
16	Rechtbank Noord-Holland	04-11-2022	09-11-2022	C/15/324380 / FA RK 22-260	Personen- en familierecht	Eerste aanleg - enkelvoudig	Ontkenning vaderschap + gelijktijdige (voorwaardelijke) beslissing over gerechtelijke vaststelling ouderschap. Geslachtsnaam. IPR. Deze beslissing wijkt af van de richtlijn van de Expertgroep Adoptie en Overige Boek 1 zaken dat niet in één beschikking een beslissing wordt gegeven over zowel de gegrondverklaring van een ontkenning vaderschap als over de gerechtelijke vaststelling ouderschap. Deze richtlijn is opgesteld omdat de heersende mening is dat gerechtelijke vaststelling van het ouderschap een laatste mogelijkheid is voor het tot stand brengen van een familierechtelijke betrekking en dat deze rechtsfiguur niet aan de orde is zolang er de mogelijkheid bestaat van erkenning van het kind. Onder de door de moeder en de vader geschetste omstandigheden, zal de rechtbank het door de moeder en de vader gestelde belang volgen, te weten terugwerkende kracht bij gerechtelijke vaststelling ouderschap in tegenstelling tot erkenning, alsmede het nationaliteitsbelang. Daar komt bij dat in casu de genetische afstamming van de minderjarigen van de vader middels DNA-onderzoek is vastgesteld, terwijl deze vaststelling bij erkenning niet aan de orde is.	Rechtspraak.nl	Verrijkte uitspraak		
17	Rechtbank Den Haag	03-11-2022	04-11-2022	FTRK 22/702	Insolventierecht	Eerste aanleg - enkelvoudig	Afwijzing verzoek WSNP. Schulden niet te goeder trouw. Niet de verwachting dat verplichtingen uit regeling zullen worden nagekomen.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 284	
18	Rechtbank Oost-Brabant	03-11-2022	04-11-2022	9813556 22-1816	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	De vraag die in deze zaak centraal staat is of het ziekenhuis een patiënt voor een behandeling had moeten waarschuwen dat haar verzekering de kosten van de behandeling niet geheel dekte. Eiseres (het ziekenhuis) vindt dat de dekking van de zorgverzekering de verantwoordelijkheid van de patiënt is. Gedaagde (patiënt) vindt dat eiseres haar vooraf had moeten waarschuwen. Doordat gedaagde een goedkopere zorgverzekering heeft afgesloten waardoor zij een lagere premie betaalt worden niet alle kosten in alle ziekenhuizen vergoed. De kantonrechter is van oordeel dat het de verantwoordelijkheid van gedaagde is om te controleren of haar verzekering alle kosten van de behandeling dekt. Daarbij heeft gedaagde al eerder medische behandelingen bij eiseres ondergaan waarvoor zij ook een eigen bijdrage heeft moeten betalen.	Rechtspraak.nl	Verrijkte uitspraak		
19	Rechtbank Oost-Brabant	03-11-2022	09-11-2022	C/01/384508 / KG ZA 22-421	Civiel recht	Kort geding	vordering tot heraansluiting  na afsluiting elektriciteit ivm diefstal stroom ihkv opgerolde hennepkwekerij	Rechtspraak.nl	Verrijkte uitspraak		
20	Rechtbank Zeeland-West-Brabant	03-11-2022	09-11-2022	9905681 AZ VERZ 22-32	Civiel recht	Bodemzaak	Eindbeschikking na bewijslevering t.a.v. de loonvordering en ongerechtvaardigde verrijking.	Rechtspraak.nl	Verrijkte uitspraak		
21	Rechtbank Midden-Nederland	02-11-2022	02-11-2022	C/16/531092 / HA ZA 21-785	Civiel recht	Eerste aanleg - meervoudig	Afwijzing vordering van zorgkantoor Zilveren Kruis op zorgverlener Fundament tot terugbetaling van niet-verantwoorde pgb-gelden. De budgethouders hebben zelf geen schade geleden omdat zij de vordering die Zilveren Kruis op hen heeft, niet hoeven terug te betalen. Zij hebben daarom geen vordering op de Fundament die zij aan Zilveren Kruis konden cederen en op grond waarvan Zilveren Kruis terugbetaling van de pgb-gelden van de Fundament kan vorderen. De vordering van Zilveren Kruis op de Fundament uit onrechtmatige daad slaagt ook niet, omdat niet is gebleken dat het Zorginstituut of de NZa subsidie van Zilveren Kruis hebben teruggevorderd of dat in de toekomst zullen doen. Gelet hierop staat niet vast dat Zilveren Kruis schade heeft geleden of zal lijden.	Rechtspraak.nl	Verrijkte uitspraak		
22	Rechtbank Overijssel	02-11-2022	02-11-2022	10138179 \ CV EXPL  22-3588	Civiel recht	Kort geding	Ontruiming aanleunwoning in kort geding toegewezen vanwege strafbaar en volstrekt ontoelaatbaar gedrag huurder. Opleggen locatie- en gebiedsverbod eveneens gerechtvaardigd.	Rechtspraak.nl	Verrijkte uitspraak		
23	Rechtbank Rotterdam	02-11-2022	03-11-2022	C/10/637117 / HA ZA 22-348	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Artikel 6:225 lid 3 BW vereist dat naast een verwijzing naar de eigen voorwaarden tevens en uitdrukkelijk de toepasselijkheid van de algemene voorwaarden van de ander van de hand wordt gewezen.	Rechtspraak.nl	Verrijkte uitspraak		
24	Rechtbank Den Haag	02-11-2022	03-11-2022	C/09/615493 / HA ZA 21-660	Civiel recht	Eerste aanleg - enkelvoudig	Begaclaim. Vraag of Staat aansprakelijk is o.g.v. onrechtmatige daad (6:162 BW), doordat eiser gedetineerd heeft gezeten in een strafzaak waarin hij is vrijgesproken. Sprake van onrechtmatig rechtspraak? Vorderingen afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
