	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
172	Rechtbank Rotterdam	21-10-2022	07-11-2022	10061343 VZ VERZ 22-10952	Arbeidsrecht	Beschikking	Oosv rechtsgeldig; werknemer heeft geen recht op vergoedingen. Echtgenote werknemer heeft zonder toestemming van de werkgever met de zakelijke tankpas van de bedrijfsauto getankt met de privéauto + tankbeurt niet aangewend t.b.v. werkgever.	Rechtspraak.nl	Verrijkte uitspraak		
173	Rechtbank Rotterdam	21-10-2022	08-11-2022	9750535	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Huurachterstand ingelopen nadat dagvaarding is uitgebracht; gedaagde is terecht gedagvaard.	Rechtspraak.nl	Verrijkte uitspraak		
174	Rechtbank Amsterdam	20-10-2022	20-10-2022	C/13/722366 / KG ZA 22-775	Civiel recht	Kort geding	De voorzieningenrechter heeft besloten dat DNBC BV, een in Amsterdam gevestigd bedrijf dat financiële diensten aanbiedt, niet langer de naam DNBC mag gebruiken.	Rechtspraak.nl	Verrijkte uitspraak		
175	Rechtbank Gelderland	20-10-2022	21-10-2022	C/05/408133 / KG ZA 22-278	Civiel recht	"Eerste aanleg - enkelvoudig
Kort geding
Op tegenspraak"	Kort Geding Tarievencode elektriciteit. Deelmarktgrenzen. Gecontracteerd transportvermogen niet beperkt. Liander moet gecontracteerd transportvermogen levering en teruglevering elektriciteit gestand doen.	Rechtspraak.nl	Verrijkte uitspraak		
176	Rechtbank Overijssel	20-10-2022	21-10-2022	C/08/286613 / KG ZA 22/217	Civiel recht	Kort geding	Kort geding. Verbod om uitlatingen te doen op sociale media. Verstek verleend tegen niet verschenen gedaagde. Vordering toegewezen nu deze de voorzieningenrechter niet ongegrond of onrechtmatig voorkomt.	Rechtspraak.nl	Verrijkte uitspraak		
177	Rechtbank Gelderland	20-10-2022	24-10-2022	C/05/405567 / FA RK 22-1926	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	De rechtbank is van oordeel dat discussie over het naamgebruik van de kinderen aangemerkt kan worden als een geschil omtrent het ouderlijk gezag (1:253a BW). Het naamgebruik valt onder de verantwoordelijkheid tot het bevorderen van de ontwikkeling van de persoonlijkheid en de zorg en verantwoordelijkheid voor het geestelijk welzijn zoals genoemd in artikel 1:247 BW. De rechtbank is van oordeel dat het niet aan de moeder is om de voornaam van de kinderen eenzijdig te wijzigen door een andere roepnaam voor de kinderen te gebruiken. De rechtbank bepaalt dat de kinderen bij alle instanties moeten worden geregistreerd onder hun officiële naam. De beslissing over het gebruik van de voornaam leent zich niet voor een verklaring voor recht, omdat hiermee geen rechtsverhouding tussen partijen wordt vastgesteld.	Rechtspraak.nl	Verrijkte uitspraak		
178	Rechtbank Rotterdam	20-10-2022	24-10-2022	C/10/645979 / KG ZA 22-853	Civiel recht	Kort geding	Kort geding. Opheffen beslag. Gestelde zekerheid moet gerelateerd worden aan de waarde van de auto. Zekerheid komt in plaats van de auto. Verhaalspositie van beslaglegger moet tenminste gelijk blijven.	Rechtspraak.nl	Verrijkte uitspraak		
179	Rechtbank Gelderland	20-10-2022	24-10-2022	C/05/409359 / KG ZA 22-306	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	De voorzieningenrechter stelt eerst vast dat de man geen juridisch ouder is. Hij heeft het kind niet erkend en zijn vaderschap is niet gerechtelijk vastgesteld. Biologisch of juridisch vaderschap is echter geen vereiste om tot een omgangsregeling te komen. Dat er aan de zijde van de vrouw twijfels zijn of de man de biologische vader is, vormt dus geen belemmering om een omgangsregeling vast te stellen. De voorzieningenrechter is van oordeel dat tussen de man en kind een nauwe persoonlijke betrekking bestaat en toetst aan artikel 8 EVRM. De man heeft gedurende zes jaar een vaderrol gespeeld in het leven van het kind. Omdat er tijdens de relatie sprake was van veel ruzies en (verbaal), ook in het bijzijn van het kind, stelt de voorzieningenrechter een begeleide regeling vast.	Rechtspraak.nl	Verrijkte uitspraak		
180	Rechtbank Overijssel	20-10-2022	24-10-2022	C/08/286697 / KG RK 22-405	Civiel recht	Wraking	Verzoek tot wraking van gehele rechtbank ongegrond verklaard.	Rechtspraak.nl	Verrijkte uitspraak		
181	Rechtbank Rotterdam	20-10-2022	25-10-2022	9876205 CV EXPL 22-1948	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Regelgeleide rechtsvinding: of de bestelknop ondubbelzinnig wijst op een betalingsverplichting, is niet contextueel bepaald, maar grammaticaal, waarbij geen acht mag worden geslagen op de verdere omstandigheden van het bestelproces.	Rechtspraak.nl	Verrijkte uitspraak		
182	Rechtbank Rotterdam	20-10-2022	25-10-2022	10074509 CV EXPL 22-3400	Verbintenissenrecht	Eerste aanleg - enkelvoudig	verstekvonnis; gedaagde heeft gebruik gemaakt van de mogelijkheid om te reageren op de vordering, daarom verstek verleend tegen gedaade	Rechtspraak.nl	Verrijkte uitspraak		
183	Rechtbank Den Haag	20-10-2022	26-10-2022	C/09/634806 22-802	Civiel recht	Kort geding	Vordering inzetten extra keuringspersoneel door NVWA afgewezen. Geen sprake van onvoorwaardelijke toezegging/garantie; op NVWA rust wel inspanningsverplichting; niet aannemelijk dat NVWA zich onvoldoende heeft ingezet.	Rechtspraak.nl	Verrijkte uitspraak		
184	Rechtbank Den Haag	20-10-2022	27-10-2022	C/09/634937 KG ZA 22-813	Civiel recht	Kort geding	Vordering eisers tot evacuatie/overbrenging naar Nederland afgewezen; geen sprake van specifiek jegens eisers gedane toezegging en eisers evenmin anders gerechtvaardigd op mogen vertrouwen dat zij zouden worden geëvacueerd/overgebracht.	Rechtspraak.nl	Verrijkte uitspraak		
185	Rechtbank Gelderland	20-10-2022	28-10-2022	C/05/408923 / KZ ZA 22-146	Civiel recht	Kort geding	Locatie- en contactverbod	Rechtspraak.nl	Verrijkte uitspraak		
186	Rechtbank Zeeland-West-Brabant	20-10-2022	24-10-2022	C/02/402022 JERK 22-174	Personen- en familierecht	Eerste aanleg - enkelvoudig	Kinderrechter verleent ondertoezichtstelling voor drie maanden en houdt aan om GI gelegenheid te bieden tot tussenrapportage:  het kan niet zo zijn dat in deze ernstige zaak een ondertoezichtstelling begeleiding pas na een wachttijd van maanden start: gewezen op andere mogelijkheden, zo als inzet Gezinsadvocaat od Schottenaanpak. Niets doen is geen optie.	"Rechtspraak.nl 
GZR-Updates.nl 2022-0280"	Verrijkte uitspraak		
187	Rechtbank Rotterdam	20-10-2022	26-10-2022	10049979 HA VERZ 22-66 en 10051999 HA VERZ 22-68	Arbeidsrecht	Beschikking	ontslag op staande voet; dringende reden; bewijslast werkgever betrokkenheid werknemer bij diefstal cq. verduistering goederen uit het bedrijf	"Rechtspraak.nl 
AR-Updates.nl 2022-1200"	Verrijkte uitspraak		
188	Rechtbank Limburg	20-10-2022	28-10-2022	C/03/308625 / KG ZA 22-320	Civiel recht	Kort geding	Aanbestedingsrecht. Leger des Heils heeft niet aannemelijk gemaakt dat de gemeente in deze aanbestedingsprocedure onvoldoende transparant is geweest of zich niet heeft gehouden aan andere algemene beginselen van het aanbestedingsrecht of van behoorlijk bestuur. Evenmin heeft Leger des Heils aannemelijk gemaakt dat de kostprijselementen op onjuiste wijze bij de berekening van het betreffende tarief zijn meegenomen, zodat ook niet aannemelijk is geworden dat dit tarief niet reëel is. Van onrechtmatig handelen door de gemeente is dan ook geen sprake, zodat de vorderingen worden afgewezen.	"Rechtspraak.nl 
Module Aanbesteding 2022/1905"	Verrijkte uitspraak		
189	Rechtbank Noord-Holland	20-10-2022	25-10-2022	C/15/330491 / KG ZA 22-388	Verbintenissenrecht	Kort geding	Levering verkochte gemeentegrond. Strijd met Didam-arrest? Mocht de gemeente o.g.v. objectieve, toetsbare en redelijke criteria aannemen dat er slechts één serieuze gegadigde was? Vorderingen afgewezen.	"Rechtspraak.nl 
Module Aanbesteding 2022/1907"	Verrijkte uitspraak		
190	Rechtbank Den Haag	20-10-2022	02-11-2022	C/09/633648 / KG ZA 22-729	Civiel recht	Kort geding	Kort geding. Verkoopprocedure voormalig Pieter Baan Centrum. Ter beoordeling ligt voor of de biedboekprocedure op zorgvuldige wijze heeft plaatsgevonden. Dat is naar voorshands oordeel het geval. Afwijzing vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
191	Rechtbank Rotterdam	20-10-2022	02-11-2022	10015312	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Tv is non-conform - verkoper moet tot reparatie overgaan dan wel een nieuwe leveren	Rechtspraak.nl	Verrijkte uitspraak		
192	Rechtbank Noord-Nederland	20-10-2022	03-11-2022	C/19/140417 / FA RK 22-1205	Personen- en familierecht	Eerste aanleg - meervoudig	Beëindiging van het gezag van moeder; vader is onbekend en heeft geen gezag. Voldaan aan het criteria van artikel 1:266 lid 1 BW en artikel 8 EVRM. Niet gebleken of aannemelijk gemaakt dat moeder in staat is te achten om binnen afzienbare tijd zelf de zorg en opvoeding weer op zich te nemen. Belang minderjarige bij duidelijkheid en continuïteit over zijn woonplaats.Verzoek ex artikel 810 a Rv afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
193	Rechtbank Noord-Nederland	20-10-2022	03-11-2022	C/19/140418 / FA RK 22-1206	Personen- en familierecht	Eerste aanleg - meervoudig	Beëindiging van het gezag van moeder; vader is onbekend en heeft geen gezag. Voldaan aan het criteria van artikel 1:266 lid 1 BW en artikel 8 EVRM. Niet gebleken of aannemelijk gemaakt dat moeder in staat is te achten om binnen afzienbare tijd zelf de zorg en opvoeding weer op zich te nemen. Belang minderjarige bij duidelijkheid en continuïteit over zijn woonplaats.Verzoek ex artikel 810 a Rv afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
194	Rechtbank Den Haag	20-10-2022	03-11-2022	C/09/634424 / JE RK 22-1820	Personen- en familierecht	Eerste aanleg - enkelvoudig	Afwijzing machtiging tot uithuisplaatsing in een gesloten accommodatie voor jeugdhulp. Het betreft een afwijzing van het aangehouden deel van het verzoek. De gecertificeerde instelling wilde geleidelijk en op een rustig tempo naar een thuisplaatsing toewerken en wilde daarvoor ook de periode ná 1 november 2022 nog benutten. Gebleken is dat voor de gecertificeerde instelling 1 november 2022 als einddatum ook bespreekbaar is, omdat duidelijk is geworden dat er voor de moeder en de minderjarige geen ruimte bestaat om van deze datum af te wijken. De gecertificeerde instelling heeft de afgelopen periode toegewerkt naar een succesvolle thuisplaatsing van de minderjarige bij de moeder. Het aangehouden deel van het verzoek, betreffende de periode ná 1 november 2022, wordt daarom afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
195	Rechtbank Rotterdam	20-10-2022	04-11-2022	C/10/642881/FT RK 22/324	Insolventierecht	Eerste aanleg - enkelvoudig	Faillietverklaring afgewezen. Vorderingsrecht verzoekster is niet summierlijk gebleken. Verweerster ontkent rechtsverhouding en daarmee grondslag vordering. De personen en opdrachten zijn niet bekend bij verweerster. Voor nader onderzoek naar de gang van zaken is in een faillissementsprocedure geen ruimte.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 6	
196	Rechtbank Den Haag	20-10-2022	07-11-2022	C/09/625267 / FA RK 22-941	Personen- en familierecht	Beschikking	Echtscheiding met nevenvoorzieningen. De vrouw verblijft in de PI, vanwege een ernstig incident waarbij de vrouw het kind – naar het zich laat aanzien in een psychose – heeft gemutileerd.	Rechtspraak.nl	Verrijkte uitspraak		
197	Rechtbank Den Haag	20-10-2022	03-11-2022	C/09/635476 / KG ZA 22-856	Civiel recht	Kort geding	Kort geding. Vordering om persoonsgegevens arts aan eiser te verstrekken ten behoeve van een te voeren klachtprocedure afgewezen. Belangenafweging.	Rechtspraak.nl	Verrijkte uitspraak		
198	Rechtbank Rotterdam	19-10-2022	19-10-2022	C/10/641116 / HA ZA 22-542	Civiel recht	Eerste aanleg - enkelvoudig	Vonnis in incident tot zekerheidstelling proceskosten	Rechtspraak.nl	Verrijkte uitspraak		
199	Rechtbank Den Haag	19-10-2022	19-10-2022	C/09/635242 / KG ZA 22-836	Verbintenissenrecht	Kort geding	Het door de minister ingestelde jachtverbod voor jacht op de haas in de provincies Groningen, Limburg en Utrecht hoeft niet buiten toepassing te worden gelaten. Op grond van de plaatsing van de haas op de zogenoemde Rode Lijst en de conclusie van WENR dat de staat van instandhouding van de haas zeer ongunstig is, kon de Minister in redelijkheid concluderen dat een beperking van de jacht gerechtvaardigd is. Deze beperking vormt geen onevenredige inbreuk op de rechten van de jagers.AchtergrondEisers zijn drie jagers en vier (jagers)verenigingen. Zij zijn het niet eens met het door de minister ingestelde partiële jactverbod voor de haas, omdat zij menen dat de minister een te strenge toets heeft aangelegd en er in Nederland voldoende hazen zijn om de jachtdruk te verdragen.	Rechtspraak.nl	Verrijkte uitspraak		
200	Rechtbank Rotterdam	19-10-2022	19-10-2022	C/10/616293 / HA ZA 21-315	Civiel recht	Eerste aanleg - enkelvoudig	Bevoegdheidsincidenten. Rechtsmacht. Artikel 6 aanhef en onder 1 EVEX II. Aanhouding. Connexiteit. Artikel 34 Brussel I bis-Vo.Eisers maken deel uit van traditionele leefgemeenschappen (waaronder de Quilombolas) in en rond Barcarena in het Braziliaanse Amazonegebied. Zij zijn voor hun levensonderhoud en drinkwatervoorziening vaak afhankelijk van de natuur (kleinschalige landbouw, ambachtelijke visserij, waterputten). Norsk Hydro c.s. exploiteren al ruim 40 jaar een aluminiumoxideraffinaderij in dit gebied. Dat doet zij via haar werkmaatschappijen Alunorte en Albras. Folketrygdfondet is een vermogensbeheerder die namens het Noorse overheidspensioenfonds een aandelenbelang in Norsk Hydro houdt. Eisers worden al tientallen jaren geconfronteerd met milieuverontreiniging in hun leefgebied. Hierdoor zijn, naar eisers stellen, veel inwoners in en rondom Barcarena ziek geworden en kunnen zij niet langer op traditionele wijze in hun levensonderhoud voorzien. Volgens eisers ligt de oorzaak van de milieuverontreiniging in de activiteiten van Alunorte en Albras in Brazilië. Eisers houden Norsk Hydro c.s. en Folketrygdfondet – als (indirecte) aandeelhouders van Alunorte en Albras – aansprakelijk voor de schade die zij door het handelen van Alunorte en Albras in Brazilië hebben geleden en nog zullen lijden. Norsk Hydro c.s. en Folketrygdfondet hebben nog geen inhoudelijk verweer gevoerd, want er moeten volgens hen eerst beslissingen genomen worden over voorvragen. Over die voorvragen wordt in dit vonnis beslist. Het gaat dan om de internationale rechtsmacht van deze rechtbank en om de vraag of deze zaak moet worden aangehouden in verband met procedures in Brazilië. Artikel 6 aanhef en onder 1 EVEX II vormt geen grond voor de bevoegdheid van de rechtbank om kennis te nemen van de vorderingen van eisers tegen Folketrygdfondet, nu niet voldaan is aan het voorzienbaarheidsvereiste. Het verzoek van Norsk Hydro c.s. tot aanhouding van de procedure wegens connexiteit met in Brazilië aanhangige procedures wordt afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
201	Rechtbank Rotterdam	19-10-2022	19-10-2022	C/10/597705 / HA ZA 20-549	Burgerlijk procesrecht	Eerste aanleg - enkelvoudig	Eindvonnis na bewijsopdracht(ECLI:NL:RBROT:2021:2443). Getuigenbewijs. Afwijzing vorderingen wegens schending artikel 21 Rv. Vervalst bewijsmiddel. Bewijs dat contante betaalafspraak is gemaakt geslaagd. In voorgaand tussenvonnis vastgesteld dat de door gedaagde ingebrachte versie van een e-mail waarin de te bewijzen betaalafspraak wel is opgenomen en de vervolgens door eiseres ingebrachte versie van diezelfde e-mail waarin de te bewijzen betaalafspraak niet is vermeld, niet naast elkaar kunnen bestaan. Met het oordeel dat gedaagde in het bewijs van het bestaan van de betaalafspraak is geslaagd staat tevens voldoende vast dat de door gedaagde ingebrachte versie van genoemde e-mail de juiste is en daarmee ook dat de door eiseres ingebrachte versie is aangepast en vervalst. Eiseres heeft daarmee op de grofst denkbare wijze artikel 21 Rv geschonden. Gevolg kan enkel zijn de integrale afwijzing van de vorderingen van eiseres.	Rechtspraak.nl	Verrijkte uitspraak		
202	Rechtbank Den Haag	19-10-2022	20-10-2022	C/13/721505 / KG ZA 22-723	Intellectueel-eigendomsrecht	Kort geding	C-09-633991 - KG ZA 22-753.Vordering van Puma om Brooks in kort geding te verbieden het Uniemerk ‘Nitro’ te gebruiken wordt afgewezen. Het merk beschrijft een kenmerk van de schoen. Daarnaast geldt dat Brooks de aanduiding ‘Nitro’ steeds gebruikt in combinatie met het merk Brooks.	Rechtspraak.nl	Verrijkte uitspraak		
203	Rechtbank Zeeland-West-Brabant	19-10-2022	21-10-2022	C/02/391379 / HA ZA 21-636	Civiel recht	Bodemzaak	Onderhoudswerkzaamheden aan compressor. Onzorgvuldig handelen onderhoudsmonteur.	Rechtspraak.nl	Verrijkte uitspraak		
204	Rechtbank Noord-Holland	19-10-2022	24-10-2022	C/15/328888 / HA ZA 22-353	Civiel recht	Bodemzaak	Vrijwaringsincident, referte. Toewijzing oproeping in vrijwaring.	Rechtspraak.nl	Verrijkte uitspraak		
205	Rechtbank Noord-Holland	19-10-2022	24-10-2022	C/15/330285 / HA ZA 22-446	Civiel recht	Bodemzaak	Vrijwaringsincident, referte. Toewijzing oproeping in vrijwaring.	Rechtspraak.nl	Verrijkte uitspraak		
206	Rechtbank Amsterdam	19-10-2022	24-10-2022	C/13/707120 / HA ZA 21-809	Civiel recht	Eerste aanleg - enkelvoudig	Vordering tot betaling uit kortdurende leningsovereenkomst. Uitleg. Haviltex. Is overeenkomst enkel opgesteld ter omzeiling van interne voorschriften? Bevrijdende betaling?	Rechtspraak.nl	Verrijkte uitspraak		
207	Rechtbank Amsterdam	19-10-2022	24-10-2022	C/13/708733 / HA ZA 21-930	Civiel recht	Eerste aanleg - meervoudig	Beoordeling rechtsgeldigheid opzegging bancaire relatie Viruswaarheid.nl na frustreren klantonderzoek.	Rechtspraak.nl	Verrijkte uitspraak		
208	Rechtbank Zeeland-West-Brabant	19-10-2022	25-10-2022	9708655 CV EXPL 22-607	Civiel recht	Bodemzaak	Huur. Afrekening servicekosten. Overeengekomen voorschotbedrag ziet op gas, water en elektraverbruik. Dit betekent dat voor wat betreft de elektra huurder uitsluitend de kosten voor het verbruik verschuldigd is; leidt tot afwijzing transformatorkosten.	Rechtspraak.nl	Verrijkte uitspraak		
209	Rechtbank Rotterdam	19-10-2022	25-10-2022	623944 / HA ZA 21-748	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Omvang schade. Vergelijk tussen de situatie zonder ontbinding van de overeenkomst en de situatie waarin eisers zich thans bevinden.	Rechtspraak.nl	Verrijkte uitspraak		
210	Rechtbank Rotterdam	19-10-2022	25-10-2022	635361 / HA ZA 22-249	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Schade tijdens graafwerkzaamheden. Verplichting tot lokaliseren van gestuurde boring op grond van CROW500? Aanvullende vragen aan de deskundige.	Rechtspraak.nl	Verrijkte uitspraak		
211	Rechtbank Gelderland	19-10-2022	26-10-2022	C/05/388819 / HA ZA 21-278	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	Overeenkomst van opdracht. Technische advisering bouwproject. Tekortkoming mbt advisering over kwaliteitsopname, constructie en brandveiligheid niet komen vast te staan.	Rechtspraak.nl	Verrijkte uitspraak		
212	Rechtbank Limburg	19-10-2022	26-10-2022	C/03/307201 / HA ZA 22-306	Civiel recht	Eerste aanleg - enkelvoudig	Verwijzing naar familie; omgangsregeling meerderjarige verdragsconforme interpretatie art. 1:377 a BW.	Rechtspraak.nl	Verrijkte uitspraak		
213	Rechtbank Limburg	19-10-2022	26-10-2022	C/03/271520 / HA ZA 19-599	Civiel recht	Eerste aanleg - enkelvoudig	Eindvonnis verdeling nalatenschap.	Rechtspraak.nl	Verrijkte uitspraak		
214	Rechtbank Rotterdam	19-10-2022	26-10-2022	C/10/616234 / HA ZA 21-307	Civiel recht	Eerste aanleg - enkelvoudig	Reisbevrachtingsovereenkomst. Binnenvaart. Schip vaart tegen damwand aan, waarvoor de vervrachter/scheepseigenaar aansprakelijkheid erkent. De vervrachter begint een zaak tegen de bevrachter. De vervrachter houdt de bevrachter aansprakelijk voor het niet tijdig lossen van de lading en vordert schadevergoeding die hiervan het gevolg zou zijn. Geen aansprakelijkheid uit overeenkomst, onrechtmatige daad en/of zaakwaarneming. Afwijzing vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
215	Rechtbank Noord-Holland	19-10-2022	26-10-2022	9756698 CV EXP 22-1444	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Terrastegels, factuur niet betaald, onduidelijke klachten, betaling opgeschort, maar geen ingebreke- of aansprakelijkstelling, geen verrekening van gestelde schade met factuur	Rechtspraak.nl	Verrijkte uitspraak		
216	Rechtbank Den Haag	19-10-2022	26-10-2022	C/09/619968 / HA ZA 21-962	Civiel recht	Eerste aanleg - enkelvoudig	Beeindiging samenwerkings/licentieovereenkomst. Schending geheimhoudingsbeding, verbod gebruik knowhow en non-concurrentiebeding. Onrechtmatige concurrentie echtgenoot voormalig licentienemer. Slaafse nabootsing. Auteursrecht, handelsnaamrecht, merkrecht.	Rechtspraak.nl	Verrijkte uitspraak		
217	Rechtbank Zeeland-West-Brabant	19-10-2022	26-10-2022	391475_E19102022	Verbintenissenrecht	Bodemzaak	Geschil over strook grond. Verjaring onvoldoende onderbouwd gesteld. Afspraak onvoldoende onderbouwd gesteld. Vordering tot nemen besluit gemeente niet-ontvankelijk.	Rechtspraak.nl	Verrijkte uitspraak		
218	Rechtbank Gelderland	19-10-2022	26-10-2022	C/05/398877 / HZ ZA 22-31	Civiel recht	Eerste aanleg - enkelvoudig	Vervoersrecht. Is transporteur tekortgeschoten? Mag alleen ontbonden worden als 3% norm niet wordt gehaald? Ook klachten over tweede pakbon, klachtafhandeling en track-and-trac.  Geen 'valse' ingebrekestelling, dwz alleen om te mogen ontbinden.	Rechtspraak.nl	Verrijkte uitspraak		
219	Rechtbank Gelderland	19-10-2022	26-10-2022	C/05/406662 HO RK 22/473	Civiel recht	Eerste aanleg - meervoudig	Whoa aspectenverzoek over klassenindeling en betwiste vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
220	Rechtbank Den Haag	19-10-2022	27-10-2022	C/09/636270 KG ZA 22-896	Civiel recht	Kort geding	Vordering eiser afgewezen; geen grond om gijzeling ikv aan eiser opgelegde ontnemingsmaatregel te schorsen.	Rechtspraak.nl	Verrijkte uitspraak		
221	Rechtbank Zeeland-West-Brabant	19-10-2022	27-10-2022	384118_E19102022	Civiel recht	Bodemzaak	Beëindiging samenwerking tussen partijen.	Rechtspraak.nl	Verrijkte uitspraak		
222	Rechtbank Noord-Holland	19-10-2022	27-10-2022	9760292 \ CV EXPL 22-1455	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Huurrecht woonruimte. Geen ontbinding van de huurovereenkomst wegens overlast. Niet zodanig ernstig dat vordering op dit moment toewijsbaar is. Belangenafweging, voordeel van de twijfel voor de huurders	Rechtspraak.nl	Verrijkte uitspraak		
223	Rechtbank Den Haag	19-10-2022	27-10-2022	C/09/629098 / HA ZA 22-400	Civiel recht	Eerste aanleg - enkelvoudig	Internationale bevoegdheid. Is er sprake van lopende handelsbetrekkingen tussen partijen, waarin de algemene voorwaarden met een forumkeuze van toepassing zijn?	Rechtspraak.nl	Verrijkte uitspraak		
224	Rechtbank Noord-Holland	19-10-2022	27-10-2022	8968062	Verbintenissenrecht	Bodemzaak	Wat er ook zij van eventuele bijzondere omstandigheden, niet is gebleken dat de vervoerder alle redelijke maatregelen heeft genomen om de vertraging op de eindbestemming te voorkomen dan wel te beperken. Buffer gelet op de MCT onvoldoende.	Rechtspraak.nl	Verrijkte uitspraak		
225	Rechtbank Noord-Holland	19-10-2022	28-10-2022	9988331 \ CV EXPL  22-3317	Verbintenissenrecht	"Bodemzaak
Verstek"	Ambtshalve toetsing. Niet voldoende gesteld en onderbouwd dat voldaan is aan de (pre)contractuele informatieplichten.	Rechtspraak.nl	Verrijkte uitspraak		
226	Rechtbank Rotterdam	19-10-2022	26-10-2022	9956067	Arbeidsrecht	Beschikking	Ontslag op staande voet niet rechtsgeldig; niet onverwijld gegeven. Voor de beoordeling van de verzoeken op toekenning van de transitievergoeding en een billijke vergoedin is van belang of verzoeker ernstig verwijtbaar heeft gehandeld. Bewijsopdracht.	"Rechtspraak.nl 
AR-Updates.nl 2022-1185"	Verrijkte uitspraak		
227	Rechtbank Noord-Holland	19-10-2022	24-10-2022	C/15/323146 / HA ZA 21-647	Verbintenissenrecht	Bodemzaak	aansprakelijkstelling werkgever voor diefstal ondergeschikte; onrechtmatige daad; Verdrag van Montreal	"Rechtspraak.nl 
AR-Updates.nl 2022-1189"	Verrijkte uitspraak		
228	Rechtbank Rotterdam	19-10-2022	27-10-2022	10013559 VZ VERZ 22-9934	Arbeidsrecht	Beschikking	Arbeidsrecht. Wie is werkgever? Ontslag op staande voet niet rechtsgeldig. Vergoedingen.	"Rechtspraak.nl 
AR-Updates.nl 2022-1186"	Verrijkte uitspraak		
229	Rechtbank Limburg	19-10-2022	31-10-2022	C/03/308910 KG ZA 22-333	Ondernemingsrecht	Kort geding	geschil over de vraag of er (nog steeds) sprake is van medebestuurderschap. Vordering in conventie: toegang tot de systemen van de onderneming, rectificatie van de uitschrijving als medebestuurder in het Handelsregister en mededeling van het medebestuurderschap aan de accountant van de onderneming. Vordering in voorwaardelijke reconventie: schorsen medebestuurder en onthouden stemrecht aandeelhouder wegens wanbeleid.	Rechtspraak.nl	Verrijkte uitspraak		
230	Rechtbank Limburg	19-10-2022	31-10-2022	C/03/307944 / HA ZA 22-340	Civiel recht	Eerste aanleg - enkelvoudig	Betwisting noodzaak onteigening. Titeltoetsing. Passeren argument dat eerst in rechtbankprocedure is aangevoerd. Ten overvloede overweging dat naar huidig recht niet de regel geldt dat de (on)mogelijkheid om een gedoogplicht op te leggen expliciet moet worden betrokken bij de beantwoording van de vraag of onteigening toelaatbaar is. Geen aanleiding vooruit te lopen op de komende Omgevingswet.	Rechtspraak.nl	Verrijkte uitspraak		
231	Rechtbank Gelderland	19-10-2022	26-10-2022	C/05/375852 / HA ZA 20-507	Goederenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	Eindvonis na bewijsopdracht. Exacte erfgrens akn op basis van de akte van levering niet worden vastgesteld. Akte verwijst naar voorlopige grens in kadaster/SPLITS. Voorl. grens kan niet worden herleid naar nauwkeurige gegevens (bijvoorbeeld GPS punten).	Rechtspraak.nl	Verrijkte uitspraak		
232	Rechtbank Rotterdam	19-10-2022	31-10-2022	C/10/554426 / HA ZA 18-669	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Eindvonnis na deskundigenbericht; non-conformiteit klimaatinstallatie kantoorgebouw; niet voldaan aan garanties; vordering tot vergoeding kosten aanbrengen zonwering toegewezen	Rechtspraak.nl	Verrijkte uitspraak		
233	Rechtbank Amsterdam	19-10-2022	31-10-2022	C/13/709701 / HA ZA 21-991	Verbintenissenrecht	Eerste aanleg - enkelvoudig	aansprakelijkheid bouwbegeleider. Uitloop bouwwerkzaamheden. wanprestatie bouwbegeleider agv niet bijhouden budget en termijn. schade geschat.	Rechtspraak.nl	Verrijkte uitspraak		
234	Rechtbank Den Haag	19-10-2022	01-11-2022	C/09/598632 / HA ZA 20-847	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	Overheidsaansprakelijkheid. Handel in synthetische cannabinoïden. Geneesmiddelenwet. Vordering tot schadevergoeding wegens strafvorderlijk optreden politie en justitie t.a.v. vrijgesproken verdachte. Geen onrechtmatigheid op grond van Begaclaim-gronden.	Rechtspraak.nl	Verrijkte uitspraak		
